"","ID","Name","gamesPlayed","goalsScored","goalsPerGame","idx_raw"
"150",12003,"Tom Hickey",21,10,0.476190476190476,31.4761904761905
"151",12855,"Anthony Scott",21,10,0.476190476190476,31.4761904761905
"152",12597,"Esava Ratugolea",15,11,0.733333333333333,31.1333333333333
"153",12637,"Jamaine Jones",15,11,0.733333333333333,31.1333333333333
"154",12619,"James Worpel",20,10,0.5,31
"155",12858,"Tyler Brockman",11,10,0.909090909090909,31
"156",12705,"Chris Burgess",19,10,0.526315789473684,30.5789473684211
"157",12831,"Liam Henry",17,10,0.588235294117647,29.9411764705882
"158",12307,"Nick Holman",16,10,0.625,29.75
"159",12494,"Sam Powell-Pepper",16,10,0.625,29.75
