Draft,Name,Team,Forward
,Toby McLean,Western Bulldogs,*
,Lachlan McNeil,Western Bulldogs,*
,Aaron Naughton,Western Bulldogs,*
,Tim O'Brien,Western Bulldogs,*
,Cody Raak,Western Bulldogs,
,Ed Richards,Western Bulldogs,
,Anthony Scott,Western Bulldogs,*
,Bailey Smith,Western Bulldogs,*
,Roarke Smith,Western Bulldogs,
,Jordon Sweet,Western Bulldogs,
,Adam Treloar,Western Bulldogs,*
,Jamarra Ugle-Hagan,Western Bulldogs,*
,Laitham Vandermeer,Western Bulldogs,*
,Cody Weightman,Western Bulldogs,*
,Rhylee West,Western Bulldogs,*
,Bailey Williams,Western Bulldogs,
